index,car,model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,model.1,color
0,Mazda,RX4,21.0,6.0,160.0,110.0,3.9,2.62 lbs,16.46,,1.0,4.0,4.0,RX4,
1,Mazda,RX4,21.0,6.0,160.0,110.0,3.9,2.875 lbs,17.02,,1.0,4.0,4.0,RX4,
2,Datsun,710,22.8,4.0,108.0,93.0,3.85,2.32 lbs,18.61,1.0,1.0,4.0,1.0,710,
3,Hornet,4,21.4,6.0,258.0,110.0,3.08,3.215 lbs,19.44,1.0,0.0,3.0,1.0,4,
4,harnet,Sportabout,18.7,8.0,360.0,175.0,3.15,3.44 lbs,17.02,,0.0,3.0,2.0,Sportabout,
5,Valiant,,18.1,6.0,225.0,105.0,2.76,3.46 lbs,20.22,1.0,0.0,3.0,1.0,,
6,Duster,360,14.3,8.0,360.0,245.0,3.21,3.57 lbs,15.84,,0.0,3.0,4.0,360,
7,Merc,240D,24.4,4.0,146.7,62.0,3.69,3.19 lbs,20.0,1.0,0.0,4.0,2.0,240D,
8,Merc,230,22.8,4.0,140.8,95.0,3.92,3.15 lbs,22.9,1.0,0.0,4.0,2.0,230,
9,Merc,280,19.2,6.0,167.6,123.0,3.92,3.44 lbs,18.3,1.0,0.0,4.0,4.0,280,
10,nerc,280C,17.8,6.0,167.6,123.0,3.92,3.44 lbs,18.9,1.0,0.0,4.0,4.0,280C,
11,Merc,450SE,16.4,8.0,275.8,180.0,3.07,4.07 lbs,17.4,,0.0,3.0,3.0,450SE,
12,Merc,450SL,17.3,8.0,275.8,180.0,3.07,3.73 lbs,17.6,,0.0,3.0,3.0,450SL,
13,merc,450SLC,15.2,8.0,275.8,180.0,3.07,3.78 lbs,18.0,,0.0,3.0,3.0,450SLC,
14,Cadillac,Fleetwood,10.4,8.0,472.0,205.0,2.93,5.25 lbs,17.98,,0.0,3.0,4.0,Fleetwood,
15,Lincoln,Continental,10.4,8.0,460.0,215.0,3.0,5.4239999999999995 lbs,17.82,,0.0,3.0,4.0,Continental,
16,Chrysler,Imperial,14.7,8.0,440.0,230.0,3.23,5.345 lbs,17.42,,0.0,3.0,4.0,Imperial,
17,Fiat,128,32.4,4.0,78.7,66.0,4.08,2.2,19.47,1.0,1.0,4.0,1.0,128,
18,Honda,Civic,30.4,4.0,75.7,52.0,4.93,1.615 lbs,18.52,1.0,1.0,4.0,2.0,Civic,
19,toyota,Corolla,33.9,4.0,71.1,65.0,4.22,1.835 lbs,19.9,1.0,1.0,4.0,1.0,Corolla,
20,Toyota,Corona,21.5,4.0,120.1,97.0,3.7,2.465 lbs,20.01,1.0,0.0,3.0,1.0,Corona,
21,Dodge,Challenger,15.5,8.0,318.0,150.0,2.76,3.52 lbs,16.87,,0.0,3.0,2.0,Challenger,
22,AMC,Javelin,15.2,8.0,304.0,150.0,3.15,3.435 lbs,17.3,,0.0,3.0,2.0,Javelin,
23,Camaro,Z28,13.3,8.0,350.0,245.0,3.73,3.84 lbs,15.41,,0.0,3.0,4.0,Z28,
24,Pontiac,Firebird,19.2,8.0,400.0,175.0,3.08,3.845 lbs,17.05,,0.0,3.0,2.0,Firebird,
25,Fiat,X1-9,27.3,4.0,79.0,66.0,4.08,1.935 lbs,18.9,1.0,1.0,4.0,1.0,X1-9,
26,Porsche,914-2,26.0,4.0,120.3,91.0,4.43,2.14 lbs,16.7,,1.0,5.0,2.0,914-2,
27,Lotus,Europa,30.4,4.0,95.1,113.0,3.77,1.5130000000000001 lbs,16.9,1.0,1.0,5.0,2.0,Europa,
28,Ford,Pantera,15.8,8.0,351.0,264.0,4.22,3.17 lbs,14.5,,1.0,5.0,4.0,Pantera,
29,Ferrari,Dino,19.7,6.0,145.0,175.0,3.62,2.77 lbs,15.5,,1.0,5.0,6.0,Dino,
30,Maserati,Bora,15.0,8.0,301.0,335.0,3.54,3.57 lbs,14.6,,1.0,5.0,8.0,Bora,
31,Volvo,142E,21.4,4.0,121.0,109.0,4.11,2.78 lbs,18.6,1.0,1.0,4.0,2.0,142E,
32,Mazda,RX4,21.0,6.0,160.0,110.0,3.9,2.875 lbs,17.02,,1.0,4.0,4.0,RX4,
33,harnet,Sportabout,18.7,8.0,360.0,175.0,3.15,3.44 lbs,17.02,,0.0,3.0,2.0,Sportabout,
34,harnet,Sportabout,18.7,8.0,360.0,175.0,3.15,3.44 lbs,17.02,,0.0,3.0,2.0,Sportabout,
35,Valiant,,18.1,6.0,225.0,105.0,2.76,3.46 lbs,20.22,1.0,0.0,3.0,1.0,,
36,Valiant,,18.1,6.0,225.0,105.0,2.76,3.46 lbs,20.22,1.0,0.0,3.0,1.0,,
37,Merc,240D,24.4,4.0,146.7,62.0,3.69,3.19 lbs,20.0,1.0,0.0,4.0,2.0,240D,
38,Merc,240D,24.4,4.0,146.7,62.0,3.69,3.19 lbs,20.0,1.0,0.0,4.0,2.0,240D,
39,Merc,230,22.8,4.0,140.8,95.0,3.92,3.15 lbs,22.9,1.0,0.0,4.0,2.0,230,
40,nerc,280C,17.8,6.0,167.6,123.0,3.92,3.44 lbs,18.9,1.0,0.0,4.0,4.0,280C,
41,nerc,280C,17.8,6.0,167.6,123.0,3.92,3.44 lbs,18.9,1.0,0.0,4.0,4.0,280C,
42,Merc,450SL,17.3,8.0,275.8,180.0,3.07,3.73 lbs,17.6,,0.0,3.0,3.0,450SL,
43,Merc,450SL,17.3,8.0,275.8,180.0,3.07,3.73 lbs,17.6,,0.0,3.0,3.0,450SL,
44,Lincoln,Continental,10.4,8.0,460.0,215.0,3.0,5.4239999999999995 lbs,17.82,,0.0,3.0,4.0,Continental,
45,Toyota,Corona,21.5,4.0,120.1,97.0,3.7,2.465 lbs,20.01,1.0,0.0,3.0,1.0,Corona,
46,Toyota,Corona,21.5,4.0,120.1,97.0,3.7,2.465 lbs,20.01,1.0,0.0,3.0,1.0,Corona,
47,Camaro,Z28,13.3,8.0,350.0,245.0,3.73,3.84 lbs,15.41,,0.0,3.0,4.0,Z28,
48,Pontiac,Firebird,19.2,8.0,400.0,175.0,3.08,3.845 lbs,17.05,,0.0,3.0,2.0,Firebird,
49,Pontiac,Firebird,19.2,8.0,400.0,175.0,3.08,3.845 lbs,17.05,,0.0,3.0,2.0,Firebird,
50,Lotus,Europa,30.4,4.0,95.1,113.0,3.77,1.5130000000000001 lbs,16.9,1.0,1.0,5.0,2.0,Europa,
51,,,,,,,,,,,,,,,
52,,,,,,,,nn,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,nn,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,
