SalePrice,LotFrontage,LotArea,Utilities,Neighborhood,YearBuilt,FullBath,HalfBath,BedroomAbvGr,GarageCars,GarageArea
208500,65.0,8450,AllPub,CollgCr,2003,2,1,3,2,548
181500,80.0,9600,AllPub,Veenker,1976,2,0,3,2,460
223500,68.0,11250,AllPub,CollgCr,2001,2,1,3,2,608
140000,60.0,9550,AllPub,Crawfor,1915,1,0,3,3,642
250000,84.0,14260,AllPub,NoRidge,2000,2,1,4,3,836
143000,85.0,14115,AllPub,Mitchel,1993,1,1,1,2,480
307000,75.0,10084,AllPub,Somerst,2004,2,0,3,2,636
200000,,10382,AllPub,NWAmes,1973,2,1,3,2,484
129900,51.0,6120,AllPub,OldTown,1931,2,0,2,2,468
118000,50.0,7420,AllPub,BrkSide,1939,1,0,2,1,205
129500,70.0,11200,AllPub,Sawyer,1965,1,0,3,1,384
345000,85.0,11924,AllPub,NridgHt,2005,3,0,4,3,736
144000,,12968,AllPub,Sawyer,1962,1,0,2,1,352
279500,91.0,10652,AllPub,CollgCr,2006,2,0,3,3,840
157000,,10920,AllPub,NAmes,1960,1,1,2,1,352
132000,51.0,6120,AllPub,BrkSide,1929,1,0,2,2,576
149000,,11241,AllPub,NAmes,1970,1,0,2,2,480
90000,72.0,10791,AllPub,Sawyer,1967,2,0,2,2,516
159000,66.0,13695,AllPub,SawyerW,2004,1,1,3,2,576
139000,70.0,7560,AllPub,NAmes,1958,1,0,3,1,294
325300,101.0,14215,AllPub,NridgHt,2005,3,1,4,3,853
139400,57.0,7449,AllPub,IDOTRR,1930,1,0,3,1,280
230000,75.0,9742,AllPub,CollgCr,2002,2,0,3,2,534
129900,44.0,4224,AllPub,MeadowV,1976,1,0,3,2,572
154000,,8246,AllPub,Sawyer,1968,1,0,3,1,270
256300,110.0,14230,AllPub,NridgHt,2007,2,0,3,3,890
134800,60.0,7200,AllPub,NAmes,1951,1,0,3,2,576
306000,98.0,11478,AllPub,NridgHt,2007,2,0,3,3,772
207500,47.0,16321,AllPub,NAmes,1957,1,0,2,1,319
68500,60.0,6324,AllPub,BrkSide,1927,1,0,1,1,240
40000,50.0,8500,AllPub,IDOTRR,1920,1,0,3,1,250
149350,,8544,AllPub,Sawyer,1966,1,1,3,1,271
179900,85.0,11049,AllPub,CollgCr,2007,2,0,3,2,484
165500,70.0,10552,AllPub,NAmes,1959,1,1,4,2,447
277500,60.0,7313,AllPub,NridgHt,2005,2,0,2,2,556
309000,108.0,13418,AllPub,NridgHt,2004,3,1,4,3,691
145000,112.0,10859,AllPub,CollgCr,1994,1,1,3,2,672
153000,74.0,8532,AllPub,NAmes,1954,1,0,3,2,498
109000,68.0,7922,AllPub,NAmes,1953,1,0,3,1,246
82000,65.0,6040,AllPub,Edwards,1955,2,0,2,0,0
160000,84.0,8658,AllPub,NAmes,1965,2,0,3,2,440
170000,115.0,16905,AllPub,Timber,1959,1,1,2,1,308
144000,,9180,AllPub,SawyerW,1983,1,0,2,2,504
130250,,9200,AllPub,CollgCr,1975,1,0,3,1,308
141000,70.0,7945,AllPub,NAmes,1959,1,0,3,1,300
319900,61.0,7658,AllPub,NridgHt,2005,2,0,2,2,576
239686,48.0,12822,AllPub,Mitchel,2003,1,1,1,2,670
249700,84.0,11096,AllPub,Somerst,2006,2,0,3,3,826
113000,33.0,4456,AllPub,OldTown,1920,2,0,2,0,0
127000,66.0,7742,AllPub,Sawyer,1966,1,0,3,1,386
177000,,13869,AllPub,Gilbert,1997,2,0,3,2,388
114500,52.0,6240,AllPub,BrkSide,1934,1,0,3,2,528
110000,110.0,8472,AllPub,IDOTRR,1963,1,0,2,2,516
385000,68.0,50271,AllPub,Veenker,1981,0,1,0,3,894
130000,60.0,7134,AllPub,NAmes,1955,1,0,3,2,572
180500,100.0,10175,AllPub,NAmes,1964,2,0,3,2,576
172500,24.0,2645,AllPub,Somerst,1999,2,1,3,2,480
196500,89.0,11645,AllPub,CollgCr,2004,2,1,3,2,565
438780,66.0,13682,AllPub,StoneBr,2006,3,1,3,3,641
124900,60.0,7200,AllPub,CollgCr,1972,1,0,2,1,352
158000,63.0,13072,AllPub,SawyerW,2004,1,1,3,2,576
101000,60.0,7200,AllPub,IDOTRR,1920,1,0,3,1,288
202500,44.0,6442,AllPub,NridgHt,2006,2,0,2,2,484
140000,50.0,10300,AllPub,OldTown,1921,2,0,3,2,480
219500,,9375,AllPub,CollgCr,1997,2,1,3,2,645
317000,76.0,9591,AllPub,NridgHt,2004,2,1,4,3,852
180000,,19900,AllPub,NAmes,1970,2,0,3,2,576
226000,72.0,10665,AllPub,CollgCr,2003,2,0,3,2,558
80000,47.0,4608,AllPub,OldTown,1945,1,0,2,1,220
225000,81.0,15593,AllPub,ClearCr,1953,2,0,3,2,667
244000,95.0,13651,AllPub,NAmes,1973,2,0,3,2,516
129500,69.0,7599,AllPub,Mitchel,1982,1,0,2,2,360
185000,74.0,10141,AllPub,Gilbert,1998,2,1,3,2,427
144900,85.0,10200,AllPub,NAmes,1954,1,0,3,2,490
107400,60.0,5790,AllPub,OldTown,1915,2,0,3,1,379
91000,21.0,1596,AllPub,MeadowV,1973,1,0,2,1,297
135750,,8475,AllPub,NAmes,1956,1,0,2,1,283
127000,50.0,8635,AllPub,BrkSide,1948,1,0,2,1,240
136500,72.0,10778,AllPub,Sawyer,1968,2,0,4,0,0
110000,60.0,10440,AllPub,OldTown,1910,1,1,2,2,440
193500,100.0,13000,AllPub,NAmes,1968,2,1,4,1,509
153500,32.0,4500,AllPub,Mitchel,1998,2,0,2,2,405
245000,78.0,10206,AllPub,Somerst,2007,2,0,3,3,758
126500,80.0,8892,AllPub,NAmes,1960,1,1,3,2,461
168500,,8530,AllPub,Gilbert,1995,2,1,3,2,400
260000,121.0,16059,AllPub,NoRidge,1991,2,1,4,2,462
174000,122.0,11911,AllPub,Gilbert,2005,2,1,3,2,400
164500,40.0,3951,AllPub,Somerst,2009,2,1,2,2,528
85000,105.0,8470,AllPub,IDOTRR,1915,1,0,2,0,0
123600,60.0,8070,AllPub,CollgCr,1994,1,0,3,0,0
109900,60.0,7200,AllPub,NAmes,1950,1,0,2,2,420
98600,85.0,8500,AllPub,NAmes,1961,1,0,2,2,480
163500,80.0,13360,AllPub,Crawfor,1921,1,0,2,2,432
133900,60.0,7200,AllPub,OldTown,1910,2,0,4,2,506
204750,69.0,9337,AllPub,CollgCr,1997,2,1,3,2,684
185000,,9765,AllPub,Gilbert,1993,2,1,3,2,420
214000,78.0,10264,AllPub,CollgCr,1999,2,0,3,2,472
94750,73.0,10921,AllPub,Edwards,1965,1,0,3,1,432
83000,85.0,10625,AllPub,Edwards,1920,1,0,2,1,366
128950,77.0,9320,AllPub,NAmes,1959,1,1,3,0,0
205000,,10603,AllPub,NWAmes,1977,2,0,3,2,480
178000,77.0,9206,AllPub,SawyerW,1985,2,1,3,2,476
118964,64.0,7018,AllPub,SawyerW,1979,2,0,4,2,410
198900,94.0,10402,AllPub,CollgCr,2009,2,0,3,3,740
169500,,7758,AllPub,IDOTRR,1931,1,1,4,1,240
250000,75.0,9375,AllPub,Somerst,2003,2,1,3,2,648
100000,60.0,10800,AllPub,OldTown,1885,1,0,2,1,273
115000,50.0,6000,AllPub,OldTown,1948,1,0,2,1,250
115000,85.0,8500,AllPub,IDOTRR,1919,2,0,3,0,0
190000,105.0,11751,AllPub,NWAmes,1977,2,0,3,2,546
136900,75.0,9525,AllPub,Edwards,1954,2,0,4,1,325
180000,,7750,AllPub,Gilbert,2000,2,1,3,2,400
383970,77.0,9965,AllPub,CollgCr,2007,2,1,4,3,792
217000,,21000,AllPub,Crawfor,1953,2,0,3,2,450
259500,61.0,7259,AllPub,Crawfor,1945,2,1,3,1,180
176000,34.0,3230,AllPub,Somerst,1999,2,1,2,2,440
139000,,11616,AllPub,Sawyer,1962,1,0,3,1,288
155000,74.0,8536,AllPub,Edwards,2006,1,1,2,2,430
320000,90.0,12376,AllPub,SawyerW,1990,3,0,5,3,594
163990,65.0,8461,AllPub,CollgCr,2005,2,1,3,2,390
180000,,21453,AllPub,ClearCr,1969,1,0,1,2,540
100000,50.0,6060,AllPub,IDOTRR,1939,1,0,3,1,264
136000,75.0,9464,AllPub,NAmes,1958,1,0,3,1,288
153900,55.0,7892,AllPub,SawyerW,1993,2,0,2,2,530
181000,48.0,17043,AllPub,NWAmes,1979,2,0,3,2,435
84500,60.0,6780,AllPub,IDOTRR,1935,1,0,2,0,0
128000,,4928,AllPub,NPkVill,1976,2,0,2,2,440
87000,55.0,4388,AllPub,OldTown,1930,1,0,3,0,0
155000,69.0,7590,AllPub,NAmes,1966,1,1,3,2,453
150000,69.0,8973,AllPub,NAmes,1958,1,1,3,2,750
226000,88.0,14200,AllPub,NAmes,1966,2,1,4,2,487
244000,,12224,AllPub,Gilbert,2000,2,1,3,2,390
150750,75.0,7388,AllPub,NAmes,1959,1,0,3,2,624
220000,,6853,AllPub,Timber,2001,2,0,2,2,471
180000,78.0,10335,AllPub,Sawyer,1968,2,1,3,2,440
174000,80.0,10400,AllPub,NWAmes,1970,2,0,3,2,530
143000,,10355,AllPub,NAmes,1967,2,0,3,1,318
171000,82.0,11070,AllPub,Mitchel,1988,3,0,5,3,766
230000,73.0,9066,AllPub,CollgCr,1999,2,1,3,3,660
231500,65.0,15426,AllPub,CollgCr,1997,2,1,3,2,470
115000,70.0,10500,AllPub,NAmes,1971,1,0,3,0,0
260000,78.0,11645,AllPub,CollgCr,2005,2,0,3,2,660
166000,71.0,8520,AllPub,NAmes,1952,2,0,4,2,720
204000,78.0,10335,AllPub,CollgCr,1999,2,0,3,2,577
125000,70.0,9100,AllPub,Sawyer,1963,2,0,6,2,504
130000,24.0,2522,AllPub,Edwards,2004,2,0,3,2,380
105000,51.0,6120,AllPub,BrkSide,1931,1,0,2,1,180
222500,,9505,AllPub,Gilbert,2001,2,1,3,2,434
141000,63.0,7500,AllPub,SawyerW,2004,1,0,3,0,0
115000,,6240,AllPub,BrkSide,1936,1,0,3,1,240
122000,120.0,10356,AllPub,CollgCr,1975,1,1,3,2,440
372402,107.0,13891,AllPub,NridgHt,2007,2,0,2,3,866
190000,,14803,AllPub,NWAmes,1971,2,1,4,2,495
235000,,13500,AllPub,ClearCr,1960,1,0,1,2,564
125000,84.0,11340,AllPub,OldTown,1923,1,0,4,1,312
79000,60.0,9600,AllPub,Edwards,1924,1,0,2,0,0
109500,60.0,7200,AllPub,NAmes,1950,1,0,2,2,625
269500,92.0,12003,AllPub,Timber,2009,2,1,4,3,680
254900,100.0,12552,AllPub,Somerst,2004,2,1,3,2,678
320000,134.0,19378,AllPub,Gilbert,2005,2,1,4,2,576
162500,,11120,AllPub,Veenker,1984,2,0,3,2,516
412500,110.0,13688,AllPub,NridgHt,2003,2,1,3,3,726
220000,95.0,12182,AllPub,NridgHt,2005,2,0,3,2,532
103200,55.0,5500,AllPub,OldTown,1956,1,0,1,0,0
152000,40.0,5400,AllPub,OldTown,1926,2,0,3,1,216
127500,62.0,10106,AllPub,Edwards,1940,2,0,4,0,0
190000,,10708,AllPub,ClearCr,1955,1,0,2,1,303
325624,86.0,10562,AllPub,NridgHt,2007,1,1,3,3,789
183500,62.0,8244,AllPub,Gilbert,2004,2,1,3,2,440
228000,,16669,AllPub,Timber,1981,2,1,2,2,511
128500,,12358,AllPub,OldTown,1941,1,1,2,2,660
215000,141.0,31770,AllPub,NAmes,1960,1,0,3,2,528
239000,44.0,5306,AllPub,StoneBr,1987,2,0,2,2,504
163000,80.0,10197,AllPub,NAmes,1961,1,1,3,2,504
184000,47.0,12416,AllPub,Timber,1986,2,0,3,2,616
243000,84.0,12615,AllPub,Edwards,1950,2,0,4,2,576
211000,97.0,10029,AllPub,ClearCr,1988,2,1,4,2,521
172500,,13650,AllPub,Sawyer,1958,2,0,4,2,451
501837,63.0,17423,AllPub,StoneBr,2008,2,0,1,3,1166
100000,60.0,8520,AllPub,OldTown,1923,1,0,2,2,480
177000,,2117,AllPub,Somerst,2000,2,1,3,2,440
200100,54.0,7588,AllPub,Crawfor,1920,1,1,4,1,216
120000,60.0,9060,AllPub,Edwards,1957,1,0,3,1,252
200000,63.0,11426,AllPub,OldTown,2003,2,1,3,2,484
127000,92.0,7438,AllPub,BrkSide,1908,1,0,3,2,576
475000,90.0,22950,AllPub,OldTown,1892,2,1,4,3,840
173000,,9947,AllPub,Mitchel,1990,2,0,3,2,497
135000,60.0,10410,AllPub,OldTown,1916,2,1,3,1,180
153337,64.0,7018,AllPub,SawyerW,1979,0,2,2,2,528
286000,41.0,4923,AllPub,StoneBr,2001,1,1,0,2,682
315000,70.0,10570,AllPub,Crawfor,1932,2,1,3,2,440
184000,,7472,AllPub,NAmes,1972,1,1,4,2,484
192000,68.0,9017,AllPub,CollgCr,1999,2,0,3,2,666
130000,24.0,2522,AllPub,Edwards,2004,2,0,3,2,380
127000,60.0,7180,AllPub,CollgCr,1972,1,0,3,1,352
148500,24.0,2280,AllPub,NPkVill,1976,2,1,3,2,440
311872,79.0,9416,AllPub,Somerst,2007,2,0,3,3,786
235000,174.0,25419,AllPub,NAmes,1918,2,0,4,2,795
104000,92.0,5520,AllPub,OldTown,1912,1,0,5,0,0
274900,76.0,9591,AllPub,NridgHt,2004,2,0,3,3,856
140000,80.0,8546,AllPub,Edwards,2003,2,0,2,2,440
171500,75.0,10125,AllPub,Mitchel,1977,2,0,3,2,473
112000,50.0,7000,AllPub,OldTown,1924,2,0,2,1,398
149000,,4438,AllPub,CollgCr,2004,1,0,1,2,420
110000,50.0,3500,AllPub,OldTown,1947,1,1,2,1,240
180500,99.0,11851,AllPub,Gilbert,1990,2,0,3,2,500
143900,40.0,13673,AllPub,Sawyer,1962,1,1,3,1,349
141000,,12493,AllPub,NAmes,1960,1,0,3,1,312
277000,,14364,AllPub,SawyerW,1988,2,1,3,2,454
145000,75.0,8250,AllPub,NAmes,1964,1,0,3,2,504
98000,67.0,5604,AllPub,Edwards,1925,1,0,2,0,0
186000,83.0,10420,AllPub,Edwards,2009,2,0,3,2,460
252678,72.0,8640,AllPub,Somerst,2009,2,1,3,2,644
156000,43.0,13568,AllPub,CollgCr,1995,1,0,3,2,576
161750,,10900,AllPub,CollgCr,1977,1,1,3,1,299
134450,72.0,10011,AllPub,NAmes,1957,1,0,2,1,447
210000,65.0,8450,AllPub,CollgCr,2004,2,0,3,2,484
107000,57.0,9906,AllPub,OldTown,1925,1,0,3,1,210
311500,,15660,AllPub,Crawfor,1939,1,1,3,2,431
167240,43.0,3010,AllPub,Blmngtn,2005,2,0,2,2,438
204900,73.0,8990,AllPub,CollgCr,2006,2,0,2,2,675
200000,,8068,AllPub,Gilbert,2002,2,1,4,2,390
179900,85.0,11475,AllPub,NWAmes,1975,2,1,3,2,434
97000,70.0,10500,AllPub,NAmes,1971,1,0,2,2,576
386250,103.0,13472,AllPub,NridgHt,2003,2,0,3,3,968
112000,21.0,1680,AllPub,BrDale,1971,2,1,3,1,280
290000,82.0,9950,AllPub,NoRidge,1995,2,1,4,3,721
106000,21.0,1869,AllPub,BrDale,1970,1,1,2,1,280
125000,70.0,8521,AllPub,Sawyer,1967,1,0,3,1,336
192500,43.0,3182,AllPub,Blmngtn,2005,2,0,2,2,430
148000,73.0,8760,AllPub,NAmes,1959,1,0,3,1,312
403000,174.0,15138,AllPub,NoRidge,1995,2,1,4,3,810
94500,21.0,1680,AllPub,BrDale,1972,1,1,2,1,288
128200,75.0,10650,AllPub,CollgCr,1976,1,0,3,1,308
216500,,7851,AllPub,Gilbert,2002,2,1,4,2,440
89500,21.0,1680,AllPub,BrDale,1971,1,1,2,1,264
185500,65.0,8773,AllPub,CollgCr,2004,2,0,3,2,494
194500,,9453,AllPub,SawyerW,1993,2,1,3,2,457
318000,93.0,12030,AllPub,NridgHt,2007,2,0,3,3,818
113000,52.0,8741,AllPub,Edwards,1945,1,1,3,1,220
262500,75.0,9000,AllPub,Somerst,2008,2,0,3,2,750
110500,40.0,3880,AllPub,OldTown,1945,1,0,2,0,0
79000,63.0,5000,AllPub,OldTown,1900,1,0,3,1,352
120000,75.0,10762,AllPub,SawyerW,1980,1,1,3,1,288
205000,,8880,AllPub,SawyerW,1994,2,1,3,2,463
241500,80.0,10400,AllPub,NWAmes,1988,2,0,3,2,604
137000,69.0,9142,AllPub,OldTown,1910,2,0,4,1,440
140000,75.0,11310,AllPub,NAmes,1954,1,0,2,2,451
180000,72.0,11317,AllPub,CollgCr,2003,2,1,3,2,500
277000,,159000,AllPub,ClearCr,1958,2,0,4,2,389
76500,55.0,5350,AllPub,BrkSide,1940,1,0,3,0,0
235000,44.0,4750,AllPub,Crawfor,2006,2,0,2,2,538
173000,65.0,8366,AllPub,SawyerW,2004,2,1,3,2,520
158000,85.0,9350,AllPub,NAmes,1964,2,0,3,1,309
145000,70.0,8400,AllPub,NAmes,1957,1,0,3,1,294
230000,66.0,8738,AllPub,Gilbert,1999,2,1,4,2,429
207500,64.0,8791,AllPub,Somerst,2003,2,1,3,2,673
220000,68.0,8814,AllPub,CollgCr,2006,2,1,3,2,660
231500,80.0,12435,AllPub,CollgCr,2001,2,1,3,2,564
97000,70.0,12702,AllPub,OldTown,1956,1,0,2,1,308
176000,120.0,19296,AllPub,NAmes,1962,1,0,3,2,884
276000,69.0,9588,AllPub,CollgCr,2007,2,1,3,3,868
151000,88.0,8471,AllPub,Sawyer,1977,1,0,3,2,492
130000,50.0,5500,AllPub,OldTown,1929,1,0,3,2,484
73000,30.0,5232,AllPub,OldTown,1925,1,0,2,2,504
175500,78.0,12090,AllPub,NWAmes,1981,2,0,3,2,576
185000,70.0,11207,AllPub,Gilbert,1997,2,1,3,2,413
179500,60.0,8400,AllPub,SWISU,1939,2,1,4,1,240
120500,71.0,6900,AllPub,IDOTRR,1940,1,0,2,1,924
148000,,7917,AllPub,Edwards,1976,1,1,3,1,504
266000,84.0,10728,AllPub,Somerst,2006,2,1,3,3,1053
241500,73.0,39104,AllPub,ClearCr,1954,1,0,2,2,439
290000,92.0,11764,AllPub,NoRidge,1999,2,1,4,3,671
139000,80.0,9600,AllPub,NAmes,1958,2,0,3,1,338
124500,76.0,8314,AllPub,Mitchel,1982,1,0,2,1,264
205000,55.0,7264,AllPub,BrkSide,1925,2,1,3,2,672
201000,129.0,9196,AllPub,Mitchel,2003,2,0,3,2,573
141000,140.0,19138,AllPub,Gilbert,1951,1,0,2,2,400
415298,107.0,14450,AllPub,NridgHt,2006,2,1,3,3,732
192000,83.0,10005,AllPub,ClearCr,1977,2,1,4,2,505
228500,82.0,11287,AllPub,SawyerW,1989,2,1,3,2,575
185000,60.0,7200,AllPub,Somerst,2006,2,0,2,2,572
207500,34.0,5063,AllPub,NridgHt,2007,2,0,2,2,626
244600,74.0,9612,AllPub,Somerst,2008,2,0,3,3,898
179200,50.0,8012,AllPub,SawyerW,1992,2,0,2,2,529
164700,35.0,4251,AllPub,Somerst,2006,2,1,2,2,528
159000,77.0,9786,AllPub,NAmes,1962,1,1,3,2,440
88000,,8125,AllPub,NAmes,1971,1,0,3,0,0
122000,,9819,AllPub,Sawyer,1967,1,0,3,1,280
153575,60.0,8730,AllPub,BrkSide,1915,1,0,3,1,384
233230,120.0,15611,AllPub,CollgCr,2006,2,1,3,2,685
135900,55.0,5687,AllPub,SWISU,1912,2,0,6,0,0
131000,60.0,11409,AllPub,Edwards,1949,1,1,3,1,281
235000,,16659,AllPub,NWAmes,1977,2,1,3,2,539
167000,80.0,9600,AllPub,NAmes,1953,1,0,3,2,418
142500,37.0,7937,AllPub,Mitchel,1984,1,0,3,2,588
152000,75.0,13710,AllPub,IDOTRR,1950,1,1,4,1,282
239000,66.0,7399,AllPub,Somerst,1997,2,1,3,2,576
175000,90.0,11700,AllPub,NWAmes,1968,1,2,3,2,539
158500,80.0,14000,AllPub,Crawfor,1950,1,0,3,1,300
157000,90.0,15750,AllPub,Crawfor,1953,1,0,2,1,375
267000,66.0,16226,AllPub,CollgCr,1998,2,1,4,2,683
205000,118.0,13704,AllPub,CollgCr,2001,2,0,3,3,843
149900,70.0,9800,AllPub,CollgCr,1972,1,0,3,2,552
295000,87.0,18386,AllPub,OldTown,1880,3,0,3,3,870
305900,80.0,10386,AllPub,CollgCr,2004,2,0,3,3,888
225000,116.0,13474,AllPub,SawyerW,1990,2,1,4,3,746
89500,,7920,AllPub,IDOTRR,1920,1,0,3,0,0
82500,,12342,AllPub,Edwards,1940,1,0,1,2,539
360000,90.0,12378,AllPub,NridgHt,2003,2,0,3,3,708
165600,,7685,AllPub,Gilbert,1993,2,1,3,2,420
132000,50.0,8000,AllPub,NAmes,1948,1,0,2,1,240
119900,65.0,7800,AllPub,OldTown,1939,1,0,3,2,410
375000,150.0,215245,AllPub,Timber,1965,2,0,3,2,513
178000,60.0,9600,AllPub,OldTown,1925,1,1,3,2,546
188500,71.0,7795,AllPub,Gilbert,2004,2,1,3,2,432
260000,94.0,13005,AllPub,NWAmes,1980,2,1,4,2,484
270000,75.0,9000,AllPub,Somerst,2006,2,1,3,3,1025
260000,90.0,9900,AllPub,NoRidge,1993,2,1,4,3,656
187500,,14115,AllPub,NWAmes,1980,2,0,3,2,588
342643,111.0,16259,AllPub,NridgHt,2006,3,1,4,3,840
354000,99.0,12099,AllPub,NridgHt,2004,2,1,4,3,872
301000,86.0,10380,AllPub,SawyerW,1986,2,1,4,2,576
126175,49.0,5820,AllPub,OldTown,1955,1,0,3,1,220
242000,96.0,11275,AllPub,NAmes,1967,2,1,5,2,564
87000,50.0,5000,AllPub,IDOTRR,1941,1,0,2,2,360
324000,32.0,10846,AllPub,Veenker,1993,1,1,1,2,473
145250,80.0,11600,AllPub,NAmes,1960,1,1,3,1,292
214500,,11888,AllPub,BrkSide,1916,2,0,5,2,441
78000,60.0,6402,AllPub,IDOTRR,1920,1,0,3,1,189
119000,,10624,AllPub,NAmes,1964,2,0,6,1,352
139000,70.0,8176,AllPub,NAmes,1958,1,0,3,1,308
284000,85.0,10655,AllPub,NridgHt,2003,2,0,3,3,880
207000,59.0,8198,AllPub,NridgHt,2004,2,0,2,2,484
192000,59.0,9042,AllPub,Gilbert,1998,2,1,3,2,472
228950,,164660,AllPub,Timber,1965,2,0,3,2,529
377426,86.0,14157,AllPub,StoneBr,2005,2,0,3,3,676
214000,70.0,9135,AllPub,CollgCr,2002,2,0,3,2,532
202500,91.0,14145,AllPub,NWAmes,1984,2,0,3,2,440
155000,66.0,12400,AllPub,NAmes,1958,1,0,3,1,297
202900,85.0,14191,AllPub,Timber,2002,2,1,4,2,431
82000,60.0,8400,AllPub,SawyerW,1950,1,0,2,1,294
87500,,8544,AllPub,NAmes,1949,2,0,2,2,400
266000,63.0,8849,AllPub,NridgHt,2005,2,0,2,2,564
85000,36.0,2592,AllPub,MeadowV,1976,1,1,3,1,336
140200,65.0,6435,AllPub,BrkSide,1939,1,0,3,1,312
151500,,12772,AllPub,NAmes,1960,1,0,2,1,301
157500,,17600,AllPub,NAmes,1960,2,0,3,2,498
154000,36.0,2448,AllPub,NridgHt,2003,2,1,2,2,474
437154,56.0,20431,AllPub,NridgHt,2005,2,1,4,3,706
318061,68.0,7820,AllPub,NridgHt,2007,2,0,2,2,617
190000,,5271,AllPub,ClearCr,1986,1,1,2,2,445
95000,60.0,9084,AllPub,Edwards,1941,1,0,3,1,200
105900,60.0,8520,AllPub,OldTown,1928,1,0,2,2,484
140000,60.0,8400,AllPub,SWISU,1940,1,0,2,1,240
177500,105.0,11249,AllPub,CollgCr,1995,2,0,3,2,521
173000,,9248,AllPub,Gilbert,1992,2,0,3,2,400
134000,44.0,4224,AllPub,MeadowV,1976,1,1,3,2,528
130000,92.0,6930,AllPub,ClearCr,1958,1,0,3,1,288
280000,78.0,12011,AllPub,NoRidge,1998,2,1,3,2,592
156000,,7540,AllPub,Mitchel,1978,1,0,2,2,470
145000,,9144,AllPub,BrkSide,1940,1,0,3,1,240
