value,date,
156309,01/01/1952,
156527,01/02/1952,
156731,01/03/1952,
156943,01/04/1952,
157140,01/05/1952,
157343,01/06/1952,
157553,01/07/1952,
157798,01/08/1952,
158053,01/09/1952,
158306,01/10/1952,
158451,01/11/1952,
158757,01/12/1952,
158973,01/01/1953,
159170,01/02/1953,
159349,01/03/1953,
159556,01/04/1953,
159745,01/05/1953,
159956,01/06/1953,
160184,01/07/1953,
160449,01/08/1953,
160718,01/09/1953,
160978,01/10/1953,
161223,01/11/1953,
161453,01/12/1953,
161690,01/01/1954,
161912,01/02/1954,
162124,01/03/1954,
162350,01/04/1954,
162564,01/05/1954,
162790,01/06/1954,
163026,01/07/1954,
163290,01/08/1954,
163570,01/09/1954,
163847,01/10/1954,
164107,01/11/1954,
164349,01/12/1954,
164588,01/01/1955,
164809,01/02/1955,
165018,01/03/1955,
165251,01/04/1955,
165463,01/05/1955,
165695,01/06/1955,
165931,01/07/1955,
166192,01/08/1955,
166473,01/09/1955,
166755,01/10/1955,
167023,01/11/1955,
167270,01/12/1955,
167513,01/01/1956,
167746,01/02/1956,
167977,01/03/1956,
168221,01/04/1956,
168436,01/05/1956,
168659,01/06/1956,
168903,01/07/1956,
169191,01/08/1956,
169488,01/09/1956,
169780,01/10/1956,
170063,01/11/1956,
170315,01/12/1956,
170571,01/01/1957,
170806,01/02/1957,
171029,01/03/1957,
171271,01/04/1957,
171501,01/05/1957,
171741,01/06/1957,
171984,01/07/1957,
172257,01/08/1957,
172538,01/09/1957,
172816,01/10/1957,
173070,01/11/1957,
173298,01/12/1957,
173533,01/01/1958,
173746,01/02/1958,
173945,01/03/1958,
174176,01/04/1958,
174397,01/05/1958,
174639,01/06/1958,
174882,01/07/1958,
175143,01/08/1958,
175413,01/09/1958,
175697,01/10/1958,
175966,01/11/1958,
176207,01/12/1958,
176447,01/01/1959,
176685,01/02/1959,
176905,01/03/1959,
177146,01/04/1959,
177365,01/05/1959,
177591,01/06/1959,
177830,01/07/1959,
178101,01/08/1959,
178376,01/09/1959,
178657,01/10/1959,
178921,01/11/1959,
179153,01/12/1959,
179386,01/01/1960,
179597,01/02/1960,
179788,01/03/1960,
180007,01/04/1960,
180222,01/05/1960,
180444,01/06/1960,
180671,01/07/1960,
180945,01/08/1960,
181238,01/09/1960,
181528,01/10/1960,
181796,01/11/1960,
182042,01/12/1960,
182287,01/01/1961,
182520,01/02/1961,
182742,01/03/1961,
182992,01/04/1961,
183217,01/05/1961,
183452,01/06/1961,
183691,01/07/1961,
183958,01/08/1961,
184243,01/09/1961,
184524,01/10/1961,
184783,01/11/1961,
185016,01/12/1961,
185242,01/01/1962,
185452,01/02/1962,
185650,01/03/1962,
185874,01/04/1962,
186087,01/05/1962,
186314,01/06/1962,
186538,01/07/1962,
186790,01/08/1962,
187058,01/09/1962,
187323,01/10/1962,
187574,01/11/1962,
187796,01/12/1962,
188013,01/01/1963,
188213,01/02/1963,
188387,01/03/1963,
188580,01/04/1963,
188790,01/05/1963,
189018,01/06/1963,
189242,01/07/1963,
189496,01/08/1963,
189761,01/09/1963,
190028,01/10/1963,
190265,01/11/1963,
190472,01/12/1963,
190668,01/01/1964,
190858,01/02/1964,
191047,01/03/1964,
191245,01/04/1964,
191447,01/05/1964,
191666,01/06/1964,
191889,01/07/1964,
192131,01/08/1964,
192376,01/09/1964,
192631,01/10/1964,
192847,01/11/1964,
193039,01/12/1964,
193223,01/01/1965,
193393,01/02/1965,
193540,01/03/1965,
193709,01/04/1965,
193888,01/05/1965,
194087,01/06/1965,
194303,01/07/1965,
194528,01/08/1965,
194761,01/09/1965,
194997,01/10/1965,
195195,01/11/1965,
195372,01/12/1965,
195539,01/01/1966,
195688,01/02/1966,
195831,01/03/1966,
195999,01/04/1966,
196178,01/05/1966,
196372,01/06/1966,
196560,01/07/1966,
196762,01/08/1966,
196984,01/09/1966,
197207,01/10/1966,
197398,01/11/1966,
197572,01/12/1966,
197736,01/01/1967,
197892,01/02/1967,
198037,01/03/1967,
198206,01/04/1967,
198363,01/05/1967,
198537,01/06/1967,
198712,01/07/1967,
198911,01/08/1967,
199113,01/09/1967,
199311,01/10/1967,
199498,01/11/1967,
199657,01/12/1967,
199808,01/01/1968,
199920,01/02/1968,
200056,01/03/1968,
200208,01/04/1968,
200361,01/05/1968,
200536,01/06/1968,
200706,01/07/1968,
200898,01/08/1968,
201095,01/09/1968,
201290,01/10/1968,
201466,01/11/1968,
201621,01/12/1968,
201760,01/01/1969,
201881,01/02/1969,
202023,01/03/1969,
202161,01/04/1969,
202331,01/05/1969,
202507,01/06/1969,
202677,01/07/1969,
202877,01/08/1969,
203090,01/09/1969,
203302,01/10/1969,
203500,01/11/1969,
203675,01/12/1969,
203849,01/01/1970,
204008,01/02/1970,
204156,01/03/1970,
204401,01/04/1970,
204607,01/05/1970,
204830,01/06/1970,
205052,01/07/1970,
205295,01/08/1970,
205540,01/09/1970,
205788,01/10/1970,
206024,01/11/1970,
206238,01/12/1970,
206466,01/01/1971,
206668,01/02/1971,
206855,01/03/1971,
207065,01/04/1971,
207260,01/05/1971,
207462,01/06/1971,
207661,01/07/1971,
207881,01/08/1971,
208114,01/09/1971,
208345,01/10/1971,
208555,01/11/1971,
208740,01/12/1971,
208917,01/01/1972,
209061,01/02/1972,
209212,01/03/1972,
209386,01/04/1972,
209545,01/05/1972,
209725,01/06/1972,
209896,01/07/1972,
210075,01/08/1972,
210278,01/09/1972,
210479,01/10/1972,
210656,01/11/1972,
210821,01/12/1972,
210985,01/01/1973,
211120,01/02/1973,
211254,01/03/1973,
211420,01/04/1973,
211577,01/05/1973,
211746,01/06/1973,
211909,01/07/1973,
212092,01/08/1973,
212289,01/09/1973,
212475,01/10/1973,
212634,01/11/1973,
212785,01/12/1973,
212932,01/01/1974,
213074,01/02/1974,
213211,01/03/1974,
213361,01/04/1974,
213513,01/05/1974,
213686,01/06/1974,
213854,01/07/1974,
214042,01/08/1974,
214246,01/09/1974,
214451,01/10/1974,
214625,01/11/1974,
214782,01/12/1974,
214931,01/01/1975,
215065,01/02/1975,
215198,01/03/1975,
215353,01/04/1975,
215523,01/05/1975,
215768,01/06/1975,
215973,01/07/1975,
216195,01/08/1975,
216393,01/09/1975,
216587,01/10/1975,
216771,01/11/1975,
216931,01/12/1975,
217095,01/01/1976,
217249,01/02/1976,
217381,01/03/1976,
217528,01/04/1976,
217685,01/05/1976,
217861,01/06/1976,
218035,01/07/1976,
218233,01/08/1976,
218440,01/09/1976,
218644,01/10/1976,
218834,01/11/1976,
219006,01/12/1976,
219179,01/01/1977,
219344,01/02/1977,
219504,01/03/1977,
219684,01/04/1977,
219859,01/05/1977,
220046,01/06/1977,
220239,01/07/1977,
220458,01/08/1977,
220688,01/09/1977,
220904,01/10/1977,
221109,01/11/1977,
221303,01/12/1977,
221477,01/01/1978,
221629,01/02/1978,
221792,01/03/1978,
221991,01/04/1978,
222176,01/05/1978,
222379,01/06/1978,
222585,01/07/1978,
222805,01/08/1978,
223053,01/09/1978,
223271,01/10/1978,
223477,01/11/1978,
223670,01/12/1978,
223865,01/01/1979,
224053,01/02/1979,
224235,01/03/1979,
224438,01/04/1979,
224632,01/05/1979,
224843,01/06/1979,
225055,01/07/1979,
225295,01/08/1979,
225547,01/09/1979,
225801,01/10/1979,
226027,01/11/1979,
226243,01/12/1979,
226451,01/01/1980,
226656,01/02/1980,
226849,01/03/1980,
227061,01/04/1980,
227251,01/05/1980,
227522,01/06/1980,
227726,01/07/1980,
227953,01/08/1980,
228186,01/09/1980,
228417,01/10/1980,
228612,01/11/1980,
228779,01/12/1980,
228937,01/01/1981,
229071,01/02/1981,
229224,01/03/1981,
229403,01/04/1981,
229575,01/05/1981,
229761,01/06/1981,
229966,01/07/1981,
230187,01/08/1981,
230412,01/09/1981,
230641,01/10/1981,
230822,01/11/1981,
230989,01/12/1981,
231157,01/01/1982,
231313,01/02/1982,
231470,01/03/1982,
231645,01/04/1982,
231809,01/05/1982,
231992,01/06/1982,
232188,01/07/1982,
232392,01/08/1982,
232599,01/09/1982,
232816,01/10/1982,
232993,01/11/1982,
233160,01/12/1982,
233322,01/01/1983,
233473,01/02/1983,
233613,01/03/1983,
233781,01/04/1983,
233922,01/05/1983,
234118,01/06/1983,
234307,01/07/1983,
234501,01/08/1983,
234701,01/09/1983,
234907,01/10/1983,
235078,01/11/1983,
235235,01/12/1983,
235385,01/01/1984,
235527,01/02/1984,
235675,01/03/1984,
235839,01/04/1984,
235993,01/05/1984,
236160,01/06/1984,
236348,01/07/1984,
236549,01/08/1984,
236760,01/09/1984,
236976,01/10/1984,
237159,01/11/1984,
237316,01/12/1984,
237468,01/01/1985,
237602,01/02/1985,
237732,01/03/1985,
237900,01/04/1985,
238074,01/05/1985,
238270,01/06/1985,
238466,01/07/1985,
238679,01/08/1985,
238898,01/09/1985,
239113,01/10/1985,
239307,01/11/1985,
239477,01/12/1985,
239638,01/01/1986,
239788,01/02/1986,
239928,01/03/1986,
240094,01/04/1986,
240271,01/05/1986,
240459,01/06/1986,
240651,01/07/1986,
240854,01/08/1986,
241068,01/09/1986,
241274,01/10/1986,
241467,01/11/1986,
241620,01/12/1986,
241784,01/01/1987,
241930,01/02/1987,
242079,01/03/1987,
242252,01/04/1987,
242423,01/05/1987,
242608,01/06/1987,
242804,01/07/1987,
243012,01/08/1987,
243223,01/09/1987,
243446,01/10/1987,
243639,01/11/1987,
243809,01/12/1987,
243981,01/01/1988,
244131,01/02/1988,
244279,01/03/1988,
244445,01/04/1988,
244610,01/05/1988,
244806,01/06/1988,
245021,01/07/1988,
245240,01/08/1988,
245464,01/09/1988,
245693,01/10/1988,
245884,01/11/1988,
246056,01/12/1988,
246224,01/01/1989,
246378,01/02/1989,
246530,01/03/1989,
246721,01/04/1989,
246906,01/05/1989,
247114,01/06/1989,
247342,01/07/1989,
247573,01/08/1989,
247816,01/09/1989,
248067,01/10/1989,
248281,01/11/1989,
248479,01/12/1989,
248659,01/01/1990,
248827,01/02/1990,
249012,01/03/1990,
249306,01/04/1990,
249565,01/05/1990,
249849,01/06/1990,
250132,01/07/1990,
250439,01/08/1990,
250751,01/09/1990,
251057,01/10/1990,
251346,01/11/1990,
251626,01/12/1990,
251889,01/01/1991,
252135,01/02/1991,
252372,01/03/1991,
252643,01/04/1991,
252913,01/05/1991,
253207,01/06/1991,
253493,01/07/1991,
253807,01/08/1991,
254126,01/09/1991,
254435,01/10/1991,
254718,01/11/1991,
254964,01/12/1991,
255214,01/01/1992,
255448,01/02/1992,
255703,01/03/1992,
255992,01/04/1992,
256285,01/05/1992,
256589,01/06/1992,
256894,01/07/1992,
257232,01/08/1992,
257548,01/09/1992,
257861,01/10/1992,
258147,01/11/1992,
258413,01/12/1992,
258679,01/01/1993,
258919,01/02/1993,
259152,01/03/1993,
259414,01/04/1993,
259680,01/05/1993,
259963,01/06/1993,
260255,01/07/1993,
260566,01/08/1993,
260867,01/09/1993,
261163,01/10/1993,
261425,01/11/1993,
261674,01/12/1993,
261919,01/01/1994,
262123,01/02/1994,
262352,01/03/1994,
262631,01/04/1994,
262877,01/05/1994,
263152,01/06/1994,
263436,01/07/1994,
263724,01/08/1994,
264017,01/09/1994,
264301,01/10/1994,
264559,01/11/1994,
264804,01/12/1994,
265044,01/01/1995,
265270,01/02/1995,
265495,01/03/1995,
265755,01/04/1995,
265998,01/05/1995,
266270,01/06/1995,
266557,01/07/1995,
266843,01/08/1995,
267152,01/09/1995,
267456,01/10/1995,
267715,01/11/1995,
267943,01/12/1995,
268151,01/01/1996,
268364,01/02/1996,
268595,01/03/1996,
268853,01/04/1996,
269108,01/05/1996,
269386,01/06/1996,
269667,01/07/1996,
269976,01/08/1996,
270284,01/09/1996,
270581,01/10/1996,
270878,01/11/1996,
271125,01/12/1996,
271360,01/01/1997,
271585,01/02/1997,
271821,01/03/1997,
272083,01/04/1997,
272342,01/05/1997,
272622,01/06/1997,
272912,01/07/1997,
273237,01/08/1997,
273553,01/09/1997,
273852,01/10/1997,
274126,01/11/1997,
274372,01/12/1997,
274626,01/01/1998,
274838,01/02/1998,
275047,01/03/1998,
275304,01/04/1998,
275564,01/05/1998,
275836,01/06/1998,
276115,01/07/1998,
276418,01/08/1998,
276714,01/09/1998,
277003,01/10/1998,
277277,01/11/1998,
277526,01/12/1998,
277790,01/01/1999,
277992,01/02/1999,
278198,01/03/1999,
278451,01/04/1999,
278717,01/05/1999,
279001,01/06/1999,
279295,01/07/1999,
279602,01/08/1999,
279903,01/09/1999,
280203,01/10/1999,
280471,01/11/1999,
280716,01/12/1999,
280976,01/01/2000,
281190,01/02/2000,
281409,01/03/2000,
281653,01/04/2000,
281877,01/05/2000,
282126,01/06/2000,
282385,01/07/2000,
282653,01/08/2000,
282932,01/09/2000,
283201,01/10/2000,
283453,01/11/2000,
283696,01/12/2000,
283920,01/01/2001,
284137,01/02/2001,
284350,01/03/2001,
284581,01/04/2001,
284810,01/05/2001,
285062,01/06/2001,
285309,01/07/2001,
285570,01/08/2001,
285843,01/09/2001,
286098,01/10/2001,
286341,01/11/2001,
286570,01/12/2001,
286788,01/01/2002,
286994,01/02/2002,
287190,01/03/2002,
287397,01/04/2002,
287623,01/05/2002,
287864,01/06/2002,
288105,01/07/2002,
288360,01/08/2002,
288618,01/09/2002,
288870,01/10/2002,
289106,01/11/2002,
289313,01/12/2002,
289518,01/01/2003,
289714,01/02/2003,
289911,01/03/2003,
290125,01/04/2003,
290346,01/05/2003,
290584,01/06/2003,
290820,01/07/2003,
291072,01/08/2003,
291321,01/09/2003,
291574,01/10/2003,
291807,01/11/2003,
292008,01/12/2003,
292192,01/01/2004,
292368,01/02/2004,
292561,01/03/2004,
292779,01/04/2004,
292997,01/05/2004,
293223,01/06/2004,
293463,01/07/2004,
293719,01/08/2004,
293971,01/09/2004,
294230,01/10/2004,
294466,01/11/2004,
294694,01/12/2004,
294914,01/01/2005,
295105,01/02/2005,
295287,01/03/2005,
295490,01/04/2005,
295704,01/05/2005,
295936,01/06/2005,
296186,01/07/2005,
296440,01/08/2005,
296707,01/09/2005,
296972,01/10/2005,
297207,01/11/2005,
297431,01/12/2005,
297647,01/01/2006,
297854,01/02/2006,
298060,01/03/2006,
298281,01/04/2006,
298496,01/05/2006,
298739,01/06/2006,
298996,01/07/2006,
299263,01/08/2006,
299554,01/09/2006,
299835,01/10/2006,
300094,01/11/2006,
300340,01/12/2006,
300574,01/01/2007,
300802,01/02/2007,
301021,01/03/2007,
301254,01/04/2007,
301483,01/05/2007,
301739,01/06/2007,
302004,01/07/2007,
302267,01/08/2007,
302546,01/09/2007,
302807,01/10/2007,
303054,01/11/2007,
303287,01/12/2007,
303506,01/01/2008,
303711,01/02/2008,
303907,01/03/2008,
304117,01/04/2008,
304323,01/05/2008,
304556,01/06/2008,
304798,01/07/2008,
305045,01/08/2008,
305309,01/09/2008,
305554,01/10/2008,
305786,01/11/2008,
306004,01/12/2008,
306208,01/01/2009,
306402,01/02/2009,
306588,01/03/2009,
306787,01/04/2009,
306984,01/05/2009,
307206,01/06/2009,
307439,01/07/2009,
307685,01/08/2009,
307946,01/09/2009,
308189,01/10/2009,
308418,01/11/2009,
308633,01/12/2009,
308833,01/01/2010,
309027,01/02/2010,
309212,01/03/2010,
309191.211,01/04/2010,
309369.053,01/05/2010,
309548.502,01/06/2010,
309745.698,01/07/2010,
309957.775,01/08/2010,
310176.466,01/09/2010,
310399.958,01/10/2010,
310595.764,01/11/2010,
310781.705,01/12/2010,
310960.74,01/01/2011,
311113.376,01/02/2011,
311265.404,01/03/2011,
311436.238,01/04/2011,
311607.08,01/05/2011,
311791.223,01/06/2011,
311997.049,01/07/2011,
312205.367,01/08/2011,
312429.118,01/09/2011,
312644.159,01/10/2011,
312829.523,01/11/2011,
313009.712,01/12/2011,
313183.179,01/01/2012,
313338.977,01/02/2012,
313499.369,01/03/2012,
313667.127,01/04/2012,
313830.53,01/05/2012,
314017.594,01/06/2012,
314210.786,01/07/2012,
314422.341,01/08/2012,
314646.749,01/09/2012,
314853.978,01/10/2012,
315053.863,01/11/2012,
315232.752,01/12/2012,
315389.595,01/01/2013,
315520.143,01/02/2013,
315662.224,01/03/2013,
315817.855,01/04/2013,
315983.654,01/05/2013,
316171.042,01/06/2013,
316358.778,01/07/2013,
316580.327,01/08/2013,
316806.125,01/09/2013,
317022.27,01/10/2013,
317228.026,01/11/2013,
317411.551,01/12/2013,
317593.923,01/01/2014,
317753.883,01/02/2014,
317917.203,01/03/2014,
318089.218,01/04/2014,
318269.505,01/05/2014,
318464.152,01/06/2014,
318662.368,01/07/2014,
318893.786,01/08/2014,
319125.296,01/09/2014,
319353.734,01/10/2014,
319564.209,01/11/2014,
319746.157,01/12/2014,
319928.646,01/01/2015,
320074.511,01/02/2015,
320230.786,01/03/2015,
320402.295,01/04/2015,
320583.972,01/05/2015,
320773.558,01/06/2015,
320978.213,01/07/2015,
321202.45,01/08/2015,
321427.611,01/09/2015,
321653.019,01/10/2015,
321856.265,01/11/2015,
322043.071,01/12/2015,
322232.862,01/01/2016,
322398.098,01/02/2016,
322551.468,01/03/2016,
322721.212,01/04/2016,
322899.995,01/05/2016,
323088.466,01/06/2016,
323291.042,01/07/2016,
323501.361,01/08/2016,
323709.851,01/09/2016,
323919.726,01/10/2016,
324106.527,01/11/2016,
324274.912,01/12/2016,
324438.195,01/01/2017,
324581.497,01/02/2017,
324713.97,01/03/2017,
324861.757,01/04/2017,
325019.199,01/05/2017,
325186.237,01/06/2017,
325367.612,01/07/2017,
325567.716,01/08/2017,
325766.019,01/09/2017,
325965.952,01/10/2017,
326142.633,01/11/2017,
326301.399,01/12/2017,
326454.123,01/01/2018,
326600.823,01/02/2018,
326736.69,01/03/2018,
326887.866,01/04/2018,
327048.704,01/05/2018,
327219.14,01/06/2018,
327403.909,01/07/2018,
327600.25,01/08/2018,
327794.788,01/09/2018,
327990.95,01/10/2018,
328163.864,01/11/2018,
328318.861,01/12/2018,
328467.812,01/01/2019,
328610.744,01/02/2019,
328742.843,01/03/2019,
328890.25,01/04/2019,
329047.319,01/05/2019,
329213.989,01/06/2019,
329394.993,01/07/2019,
329591.333,01/08/2019,
329785.872,01/09/2019,
329982.035,01/10/2019,
330154.949,01/11/2019,
330309.946,01/12/2019,
